Player,Player_cleaned,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,player_name,height_in_cm,mean_market_value_per_player,player_name_cleaned
Rayan Aït Nouri,Rayan Ait Nouri,FRA,DF,Wolves,Premier League,20,2001,23,20,1828,20.3,0.05,0.64,0.2,30.8,0.08,0.25,16.9,0,0,0,75.2,644.7,226.2,19,20.7,91.7,14.2,18,78.7,3.74,8.57,43.7,0.1,0.84,1.43,0.74,0.44,2.41,49.4,38.8,10.6,0.79,0.05,1.77,2.76,1.43,0.39,0.84,0.1,8.37,37.1,0.1,1.53,2.17,1.28,0.49,0.2,0,0.1,0.1,0.3,0.2,0.05,0,0,0.05,0,3.74,2.12,2.66,0.69,0.39,1.38,2.22,62.2,0.84,1.67,0.15,1.53,1.87,5.62,1.58,0.05,63.1,3.15,22.7,24.2,19.6,2.32,52.8,38.5,182.5,113.3,5.81,1.08,0.84,1.53,1.58,35.9,2.96,0.2,0,0,0.99,1.13,0.15,0.05,0,0,6.65,0.99,0.94,51.3,Rayan Aït-Nouri,180,21000000,Rayan Ait-Nouri
Jean-Daniel Akpa-Akpro,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,29,1992,10,4,315,3.5,0,0.86,0,0,0,0,18.4,0,0,0,81.4,367.1,53.7,15.1,18,84.1,9.14,10,91.4,0.57,0.86,66.7,0,0.57,1.43,0.29,0,0.86,32.3,32,0.29,0.29,0,0.29,0,0,0,0,0,0,26.3,0,1.43,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,4.57,2.57,1.71,2.57,0.29,0.86,2.86,30,2,1.14,0.57,0.57,0.86,5.43,1.14,0,48.3,2.57,11.7,27.7,12.3,0.29,48.3,33.7,140,69.1,1.43,1.14,0,1.14,1.43,31.1,3.43,0.29,0,0,4,2.86,0,0,0.29,0,6.86,2,2,50,Jean-Daniel Akpa Akpro,180,2000000,Jean-Daniel Akpa Akpro
Thiago Alcántara,Thiago Alcantara,ESP,MF,Liverpool,Premier League,31,1991,25,17,1534,17,0.06,1.47,0.35,24,0.04,0.17,18.2,0,0,0,89.6,1647.5,430.7,26.8,28.9,92.5,35.9,38.6,93,14.6,17.6,82.7,0.24,1.65,11.7,1.29,0.06,10.3,87,85.9,1.12,0.71,0.18,3.71,0.12,0.06,0,0.06,0,0.18,77.9,0.12,1.35,3.59,3.06,0,0.06,0.29,0,0.18,0.35,0.35,0,0,0,0,0,3.41,2.35,1,1.82,0.59,0.71,2.35,30,1.65,1.53,0.12,1.41,2.06,5.47,1.06,0.12,98,2.18,15.4,65.5,23.2,1.53,97.1,72.8,325.9,173.9,9.59,2.76,0.24,0.59,0.82,74.4,2.82,0.12,0,0,1.47,1.53,0,0,0,0,12.8,2.18,0.94,69.8,Thiago,174,20000000,Thiago
Doðan Alemdar,Dodan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,73,707.6,428.4,3.08,3.08,100,13,13.3,98.1,7.58,16.2,46.9,0,0,0,0,0,0,32.7,24.4,8.25,2.42,0,0.5,0,0,0,0,0,0,23.8,0,0,0.08,0.08,0,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,35.1,29.3,34.8,0.42,0,0,26.9,18.2,75.4,33.4,0,0,0,0,0,17.9,0,0.08,0,0,0,0,0,0,0,0,5.17,0,0,0,Dogan Alemdar,192,3750000,Dogan Alemdar
Mircea Alexandru Tirlea,Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,22,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,71.4,930,635,20,20,100,20,30,66.7,10,15,66.7,0,0,0,0,0,0,70,40,30,0,0,0,5,0,0,0,0,30,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,5,0,85,10,30,45,15,0,55,35,120,70,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,5,5,50,Alexandru Tirlea,182,100000,Alexandru Tirlea
Mohamed Ali Cho,Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,18,2004,32,21,1837,20.4,0.2,2.06,0.74,35.7,0.1,0.27,15.5,0,0,0,70.8,157.5,29.4,6.91,8.48,81.5,2.99,4.12,72.6,0.54,1.42,37.9,0.05,0.69,0.59,0.49,0.25,0.78,15.8,15.3,0.44,0.1,0,0.49,1.42,0,0,0,0,0.1,11.2,0.05,0.88,1.91,1.08,0,0.25,0.1,0.34,0.15,0.34,0.2,0,0,0.1,0.05,0,0.49,0.34,0.1,0.2,0.2,0.05,0.64,7.7,0.59,0.93,0.05,0.88,0.64,1.13,0.05,0,29.1,0.15,2.25,14.3,15.6,3.92,28.8,21.7,132.8,90.7,4.12,1.37,0.78,3.33,2.45,21.7,7.01,0.29,0.1,0.1,1.52,2.3,0.54,0,0,0,4.07,0.74,3.48,17.4,Mohamed-Ali Cho,182,15000000,Mohamed-Ali Cho
Amath,Amath,SEN,FWMF,Mallorca,La Liga,25,1996,19,9,884,9.8,0,1.12,0.41,36.4,0,0,17,0,0,0,78.7,243.6,61.2,10,11.6,86,4.29,6.02,71.2,1.33,1.53,86.7,0.1,0.61,1.12,0.51,0.1,1.43,21.5,20.8,0.71,0.1,0,0.2,0.71,0.1,0,0,0,0.41,16.9,0.1,0.92,1.84,1.02,0,0.1,0.2,0.41,0.1,0.2,0.1,0,0,0.1,0,0,2.65,1.33,1.12,1.22,0.31,0.71,2.04,35,1.33,1.84,0.2,1.63,1.12,3.78,0.41,0,35.5,1.33,6.53,16.6,15.4,3.06,34.8,24.5,123.1,68.8,3.78,1.43,0.61,2.24,1.84,23.1,5.1,0.51,0,0,2.04,2.14,0.61,0,0,0,4.8,0.31,1.73,15,Amath Ndiaye,173,2000000,Amath Ndiaye
Andrés Andrade Cedeño,Andres Andrade Cedeno,PAN,DF,Arminia,Bundesliga,23,1998,17,12,1046,11.6,0,0.6,0.26,42.9,0,0,19.6,0,0,0,68.3,567.2,266.6,12.5,15.9,78.8,14.2,19.4,73.3,3.1,7.5,41.4,0,0.26,2.93,0.09,0,3.28,44.6,36.3,8.28,0.78,0,0.78,0.95,0,0,0,0,7.5,30.4,0.09,1.55,0.52,0.43,0,0,0.09,0,0,0.09,0.09,0,0,0,0,0,2.5,1.72,1.64,0.69,0.17,1.38,2.67,51.6,1.29,1.9,0.86,1.03,2.24,4.74,4.57,0.09,57.6,5.95,23,26.8,10.3,1.47,49.4,28.6,160.1,98.6,3.71,0.78,0.43,0.69,1.29,25.1,0.6,0.34,0,0,1.21,0.17,0.09,0,0.09,0,11.2,2.67,2.33,53.4,Andrés Andrade,187,1750000,Andres Andrade
Fredrik André Bjørkan,Fredrik Andre Bjorkan,NOR,DF,Hertha BSC,Bundesliga,23,1998,9,2,353,3.9,0,0,0,0,0,0,0,0,0,0,79.9,507.9,235.4,19.7,22.3,88.5,11.5,14.4,80.4,1.79,3.33,53.8,0,0.51,1.03,1.03,0.51,2.31,42.1,33.3,8.72,0.51,0,0,1.03,0,0,0,0,8.21,33.6,0,2.05,1.79,1.28,0.26,0,0,0.26,0,0,0,0,0,0,0,0,2.82,1.79,2.05,0.51,0.26,1.28,2.05,62.5,0.77,2.05,0.26,1.79,1.54,4.36,1.79,0.26,54.1,3.08,23.8,22.1,13.3,0.51,46.2,30.8,187.2,119.5,3.33,1.54,0.26,1.28,2.05,27.7,2.05,0.26,0,0,0.77,0.77,0,0,0,0,9.23,0.26,1.79,12.5,Fredrik Björkan,180,2500000,Fredrik Bjorkan
Josep Antoni Gayá,Josep Antoni Gaya,ESP,DF,Mallorca,La Liga,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,80,528.3,116.7,18.3,18.3,100,6.67,11.7,57.1,5,8.33,60,0,0,1.67,0,0,0,41.7,38.3,3.33,0,0,1.67,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,5,5,1.67,1.67,53.3,15,40,18.3,0,0,50,23.3,126.7,46.7,0,0,0,1.67,0,31.7,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,Josep Gayá,NaN,50000,Josep Gaya
