Player,Player_cleaned,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,player_name,height_in_cm,mean_market_value_per_player,player_name_cleaned
Martin Agirregabiria,Martin Agirregabiria,ESP,DF,Alavés,La Liga,26.0,1996,24,17,1616,18.0,0.0,0.28,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,71.4,579.8,297.3,13.0,15.7,83.0,14.9,19.4,76.6,3.22,7.5,43.0,0.06,0.78,2.78,1.06,0.61,3.06,43.8,33.7,10.1,0.39,0.0,0.94,2.17,0.06,0.0,0.0,0.0,9.61,31.3,0.17,1.56,1.44,1.11,0.11,0.06,0.0,0.17,0.0,0.11,0.06,0.0,0.06,0.0,0.0,0.0,2.33,1.28,1.22,0.67,0.44,1.22,2.39,51.2,1.17,1.83,0.17,1.67,1.39,3.72,2.44,0.0,54.2,2.78,16.5,26.6,13.3,0.61,44.3,25.9,102.2,61.1,2.61,1.0,0.11,0.56,0.61,26.1,1.06,0.22,0.0,0.0,1.67,1.5,0.06,0.0,0.06,0.0,8.33,1.89,2.17,46.6,,,,
Sergio Agüero,Sergio Aguero,ARG,FW,Barcelona,La Liga,33.0,1988,4,2,151,1.7,0.59,3.53,0.59,16.7,0.17,1.0,12.1,0.0,0.0,0.0,72.1,275.9,25.3,10.6,14.7,72.0,5.88,8.82,66.7,1.18,1.18,100.0,0.0,0.59,1.18,0.0,0.0,1.18,25.3,24.1,1.18,0.0,0.59,0.0,2.35,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.0,0.0,0.0,0.59,0.0,0.0,34.7,0.0,0.59,16.5,19.4,8.82,33.5,22.4,139.4,64.7,4.12,1.18,1.18,2.94,1.18,31.2,9.41,0.0,0.0,0.0,0.59,1.18,0.59,0.0,0.0,0.0,1.76,2.35,1.18,66.7,,,,
Álvaro Aguirre,Alvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,22.0,2000,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,240.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,0.0,10.0,10.0,10.0,0.0,30.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,,,
Rayan Aït Nouri,Rayan Ait Nouri,FRA,DF,Wolves,Premier League,20.0,2001,23,20,1828,20.3,0.05,0.64,0.2,30.8,0.08,0.25,16.9,0.0,0.0,0.0,75.2,644.7,226.2,19.0,20.7,91.7,14.2,18.0,78.7,3.74,8.57,43.7,0.1,0.84,1.43,0.74,0.44,2.41,49.4,38.8,10.6,0.79,0.05,1.77,2.76,1.43,0.39,0.84,0.1,8.37,37.1,0.1,1.53,2.17,1.28,0.49,0.2,0.0,0.1,0.1,0.3,0.2,0.05,0.0,0.0,0.05,0.0,3.74,2.12,2.66,0.69,0.39,1.38,2.22,62.2,0.84,1.67,0.15,1.53,1.87,5.62,1.58,0.05,63.1,3.15,22.7,24.2,19.6,2.32,52.8,38.5,182.5,113.3,5.81,1.08,0.84,1.53,1.58,35.9,2.96,0.2,0.0,0.0,0.99,1.13,0.15,0.05,0.0,0.0,6.65,0.99,0.94,51.3,,,,
Jean-Daniel Akpa-Akpro,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,29.0,1992,10,4,315,3.5,0.0,0.86,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,81.4,367.1,53.7,15.1,18.0,84.1,9.14,10.0,91.4,0.57,0.86,66.7,0.0,0.57,1.43,0.29,0.0,0.86,32.3,32.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,1.43,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,2.57,1.71,2.57,0.29,0.86,2.86,30.0,2.0,1.14,0.57,0.57,0.86,5.43,1.14,0.0,48.3,2.57,11.7,27.7,12.3,0.29,48.3,33.7,140.0,69.1,1.43,1.14,0.0,1.14,1.43,31.1,3.43,0.29,0.0,0.0,4.0,2.86,0.0,0.0,0.29,0.0,6.86,2.0,2.0,50.0,,,,
Thiago Alcántara,Thiago Alcantara,ESP,MF,Liverpool,Premier League,31.0,1991,25,17,1534,17.0,0.06,1.47,0.35,24.0,0.04,0.17,18.2,0.0,0.0,0.0,89.6,1647.5,430.7,26.8,28.9,92.5,35.9,38.6,93.0,14.6,17.6,82.7,0.24,1.65,11.7,1.29,0.06,10.3,87.0,85.9,1.12,0.71,0.18,3.71,0.12,0.06,0.0,0.06,0.0,0.18,77.9,0.12,1.35,3.59,3.06,0.0,0.06,0.29,0.0,0.18,0.35,0.35,0.0,0.0,0.0,0.0,0.0,3.41,2.35,1.0,1.82,0.59,0.71,2.35,30.0,1.65,1.53,0.12,1.41,2.06,5.47,1.06,0.12,98.0,2.18,15.4,65.5,23.2,1.53,97.1,72.8,325.9,173.9,9.59,2.76,0.24,0.59,0.82,74.4,2.82,0.12,0.0,0.0,1.47,1.53,0.0,0.0,0.0,0.0,12.8,2.18,0.94,69.8,,,,
Doðan Alemdar,Dodan Alemdar,TUR,GK,Rennes,Ligue 1,19.0,2002,12,12,1080,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,707.6,428.4,3.08,3.08,100.0,13.0,13.3,98.1,7.58,16.2,46.9,0.0,0.0,0.0,0.0,0.0,0.0,32.7,24.4,8.25,2.42,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,35.1,29.3,34.8,0.42,0.0,0.0,26.9,18.2,75.4,33.4,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,,,,
Mircea Alexandru Tirlea,Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,22.0,2000,1,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,930.0,635.0,20.0,20.0,100.0,20.0,30.0,66.7,10.0,15.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,70.0,40.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,85.0,10.0,30.0,45.0,15.0,0.0,55.0,35.0,120.0,70.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,50.0,,,,
Mohamed Ali Cho,Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,18.0,2004,32,21,1837,20.4,0.2,2.06,0.74,35.7,0.1,0.27,15.5,0.0,0.0,0.0,70.8,157.5,29.4,6.91,8.48,81.5,2.99,4.12,72.6,0.54,1.42,37.9,0.05,0.69,0.59,0.49,0.25,0.78,15.8,15.3,0.44,0.1,0.0,0.49,1.42,0.0,0.0,0.0,0.0,0.1,11.2,0.05,0.88,1.91,1.08,0.0,0.25,0.1,0.34,0.15,0.34,0.2,0.0,0.0,0.1,0.05,0.0,0.49,0.34,0.1,0.2,0.2,0.05,0.64,7.7,0.59,0.93,0.05,0.88,0.64,1.13,0.05,0.0,29.1,0.15,2.25,14.3,15.6,3.92,28.8,21.7,132.8,90.7,4.12,1.37,0.78,3.33,2.45,21.7,7.01,0.29,0.1,0.1,1.52,2.3,0.54,0.0,0.0,0.0,4.07,0.74,3.48,17.4,,,,
Emmanuel Amankwaa Akurugu,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,20.0,2001,3,1,79,0.9,0.0,1.11,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,67.5,496.7,183.3,16.7,21.1,78.9,10.0,13.3,75.0,3.33,7.78,42.9,1.11,1.11,1.11,0.0,0.0,2.22,44.4,35.6,8.89,0.0,0.0,1.11,1.11,0.0,0.0,0.0,0.0,8.89,30.0,0.0,2.22,1.11,1.11,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,2.22,3.33,0.0,3.33,0.0,0.0,0.0,0.0,54.4,1.11,12.2,30.0,15.6,3.33,45.6,28.9,183.3,122.2,6.67,1.11,1.11,2.22,0.0,27.8,2.22,0.0,0.0,0.0,2.22,1.11,0.0,0.0,0.0,0.0,10.0,2.22,1.11,66.7,,,,
