index,player_id,first_name,last_name,height_in_cm,mean_market_value_per_player
0,4042,Brad,Jones,194.0,200000.0
1,4133,Richie,Ryan,178.0,100000.0
2,8187,Juanmi,Callejón,180.0,250000.0
3,14221,Aaron,Lennon,165.0,1000000.0
4,17592,Pawel,Kieszek,187.0,75000.0
5,18922,Karim,Benzema,185.0,30000000.0
6,22860,Jesper,Hansen,188.0,200000.0
7,23365,,Reginaldo,175.0,25000.0
8,27941,Danijel,Subasic,191.0,100000.0
9,29962,Daniele,Dessena,182.0,300000.0
10,30321,Óscar,Trejo,180.0,3000000.0
11,30333,Marco,Motta,186.0,125000.0
12,32568,,Pedro Geromel,190.0,600000.0
13,33357,,Miranda,186.0,350000.0
14,33448,Cristian,Rodríguez,176.0,50000.0
15,33925,Jessy,Moulin,184.0,250000.0
16,35099,Steven,Fletcher,185.0,300000.0
17,35743,Fabio,Ceravolo,180.0,225000.0
18,35872,Änis,Ben-Hatira,183.0,100000.0
19,36898,Sascha,Burchert,187.0,350000.0
21,37722,Aykut,Demir,182.0,75000.0
22,37918,Matías,Fernández,176.0,225000.0
23,38100,Michael,Mancienne,184.0,200000.0
24,38780,Vítor,Gomes,182.0,100000.0
25,38801,Evgeniy,Lutsenko,187.0,300000.0
26,39426,Nicolai,Müller,173.0,400000.0
27,39828,Antonino,Barillà,180.0,300000.0
28,39907,Pape,Diop,180.0,200000.0
29,40204,Joe,Hart,196.0,1700000.0
30,42373,Diego,Alves,187.0,350000.0
31,42938,Athanasios,Papazoglou,195.0,150000.0
32,43003,Nacho,Monreal,179.0,1000000.0
33,43085,Tommaso,Bianchi,188.0,200000.0
34,43206,Massimiliano,Carlini,175.0,375000.0
35,43250,Jan,Vertonghen,189.0,2000000.0
36,43364,Luigi,Scaglia,183.0,75000.0
37,43858,Adam,Legzdins,190.0,100000.0
38,44062,Antonio,Adán,190.0,2500000.0
39,44402,Mehmet,Topal,187.0,100000.0
40,44607,Tom,Mickel,185.0,150000.0
41,44794,Henri,Lansbury,183.0,650000.0
43,45314,Federico,Fazio,195.0,600000.0
44,45320,Ángel,Di María,180.0,12000000.0
45,45389,Samuel,Di Carmine,187.0,600000.0
46,45403,André,Ayew,175.0,2500000.0
47,45567,Jonathan,Biabiany,177.0,400000.0
48,45655,José,San Román,172.0,75000.0
49,45865,Óscar,Cardozo,193.0,200000.0
50,45881,Alexander,Gerndt,185.0,150000.0
51,46060,Federico,Melchiorri,183.0,300000.0
52,46106,Adam,Le Fondre,180.0,500000.0
53,46728,Savvas,Gentsoglou,185.0,300000.0
54,47024,Milan,Lukac,197.0,50000.0
55,47082,Daniel,Sturridge,182.0,600000.0
56,49327,Bradley,Johnson,183.0,250000.0
57,49800,Milan,Mitrovic,189.0,100000.0
58,50483,Korcan,Celikay,194.0,25000.0
59,51152,Aleksandar,Mitrović,189.0,22500000.0
61,51541,Patrick,Salomon,180.0,200000.0
62,52117,Marvin,Pourié,185.0,250000.0
63,52595,Fabian,Frei,183.0,500000.0
64,52787,,Dentinho,176.0,500000.0
65,54137,,Caiuby,185.0,125000.0
66,54846,Fabian,Holland,172.0,600000.0
67,55247,Ádám,Bogdán,194.0,400000.0
68,55769,Danilo,D'Ambrosio,180.0,3000000.0
69,56794,Fabien,Lemoine,175.0,600000.0
70,56809,Alexandre,Oukidja,184.0,1200000.0
71,56853,Federico,Casarini,181.0,350000.0
72,57051,Sebastian,Rudy,180.0,1500000.0
73,57420,Lamine,Koné,188.0,700000.0
74,58112,Omar,Ramos,176.0,50000.0
75,58418,Vadym,Milko,182.0,100000.0
76,58659,Saban,Özel,178.0,75000.0
77,58761,Mehmet,Öztürk,180.0,100000.0
78,58810,Kerem Can,Akyüz,173.0,100000.0
79,58933,Yevgen,Bokhashvili,185.0,225000.0
80,59016,David,Alaba,180.0,55000000.0
81,59022,Yevgen,Galchuk,184.0,500000.0
82,59145,Gernot,Trauner,183.0,5000000.0
83,59343,Manu,Herrera,182.0,50000.0
84,59866,Victor,Moses,177.0,3500000.0
85,60164,Anastasios,Avlonitis,190.0,200000.0
86,60558,Maxime,Le Marchand,185.0,1200000.0
87,61561,Barry,Bannan,169.0,700000.0
88,61751,Antonio,Mazzotta,183.0,225000.0
89,62374,Baris,Memis,168.0,25000.0
90,62565,Sean,Welsh,174.0,250000.0
91,62725,Alessandro,De Vitis,184.0,200000.0
92,62855,Alan,Mannus,188.0,25000.0
93,63186,Roberto,Soriano,182.0,5000000.0
94,63821,Aron,Gunnarsson,177.0,800000.0
95,64598,Bernardo,Espinosa,192.0,1500000.0
96,65278,,Pedro,167.0,3000000.0
97,66110,Jon,Gaztañaga,181.0,300000.0
98,66784,Fatos,Beqiraj,188.0,175000.0
99,67089,Juan,Cala,186.0,900000.0
100,67850,Andreas,Ludwig,172.0,100000.0
101,68335,Eoin,Doyle,182.0,350000.0
102,69110,Youssef,Msakni,179.0,1200000.0
103,69636,Mathias,Gehrt,172.0,200000.0
104,70359,David,Simão,183.0,250000.0
105,70950,Mohamed,Diamé,184.0,300000.0
106,71701,Oliver,Lund,188.0,350000.0
108,71905,,Coke,176.0,600000.0
109,72484,Manu,Barreiro,189.0,100000.0
110,73333,Vegar,Hedenstad,178.0,700000.0
111,73636,Hernán,Pérez,180.0,400000.0
112,74295,Aleksandar,Ignjovski,175.0,300000.0
113,74561,Víctor,Ibáñez,191.0,125000.0
114,74683,Nemanja,Matic,194.0,5000000.0
115,75471,Yannick,Bolasie,185.0,500000.0
116,75640,Artur,Sobiech,184.0,175000.0
118,76569,Kerim,Avci,176.0,150000.0
119,77383,Eiji,Kawashima,185.0,200000.0
120,78147,Fabian,Klos,194.0,400000.0
121,78332,Sergey,Balanovich,172.0,75000.0
122,79242,,Gabriel,194.0,1500000.0
124,79620,Ali,Crawford,179.0,400000.0
125,80060,Willi,Evseev,177.0,125000.0
126,81349,Antonio,Jakolis,175.0,250000.0
127,81532,Celso,Borges,182.0,225000.0
128,81743,Fausto,Rossi,177.0,200000.0
129,81789,Maya,Yoshida,189.0,1500000.0
130,85164,Andre,Hoffmann,190.0,1200000.0
131,85177,Nathaniel,Clyne,175.0,2750000.0
133,85314,,Oscar,179.0,15000000.0
134,86097,Roman,Akbashev,177.0,600000.0
135,86202,Antonio,Rüdiger,190.0,40000000.0
136,87245,Borislav,Stoychev,187.0,10000.0
137,88074,Freek,Heerkens,185.0,300000.0
138,88103,James,Rodríguez,181.0,13000000.0
139,88688,Federico,Furlan,181.0,300000.0
140,89205,Mark,Gundelach,172.0,150000.0
141,89313,Eneko,Bóveda,182.0,400000.0
142,90024,Alfred,Finnbogason,184.0,600000.0
144,90800,Diego,Rodríguez,184.0,200000.0
145,90960,Burak,Calik,178.0,100000.0
146,91956,Magaye,Gueye,183.0,75000.0
147,92141,Víctor,Ibarbo,188.0,200000.0
148,92701,Vladimir,Weiss,173.0,700000.0
149,94348,Nikola,Trujic,182.0,300000.0
150,94757,Cüneyt,Köz,184.0,100000.0
151,95649,Oleksandr,Noyok,177.0,800000.0
152,95707,Volodymyr,Tanchyk,166.0,275000.0
154,95755,Viktor,Fischer,181.0,2300000.0
155,97562,Takayuki,Seto,181.0,150000.0
156,98113,Mustafa,Akbas,188.0,75000.0
157,98133,Abdulkadir,Özdemir,179.0,100000.0
158,98428,Balázs,Megyeri,188.0,300000.0
159,98556,Evgeniy,Pesegov,177.0,250000.0
160,98557,Artem,Deljkin,181.0,200000.0
161,98968,Valeriy,Chuperka,177.0,600000.0
162,99227,Andrea,Bertolacci,179.0,2500000.0
163,99397,Karl,Darlow,190.0,2500000.0
164,100127,Cristiano,Figueiredo,195.0,200000.0
165,100507,Juan Carlos,Paredes,178.0,450000.0
166,101954,Antons,Kurakins,184.0,125000.0
167,102745,Luca,Ceppitelli,186.0,800000.0
168,103381,,Tiquinho Soares,187.0,4500000.0
169,105842,Mariano,Bíttolo,175.0,600000.0
171,106014,,Evrard Zag,170.0,100000.0
172,106405,Jeffrey,Gouweleeuw,188.0,3500000.0
173,107010,Stefan,Savic,187.0,15000000.0
175,108880,Koen,Casteels,197.0,11000000.0
176,110708,Fredrik,Gulbrandsen,175.0,2200000.0
177,110867,Jed,Steer,183.0,600000.0
178,110931,Marco,Fossati,180.0,1000000.0
179,111078,Emil,Forsberg,177.0,11000000.0
180,111200,Fábio,Pacheco,180.0,100000.0
